exp_id,file_id,id,behaviour,position,time_ap,time_ap2,date,sex,ageclass,group,context_experiment,flee_direction,time_calibrated,behaviour2,behaviour3,flee_yn,flee_duration,bipedal_yn,tail_yn,approach_yn
EXP26,FILE26,ID18,y,1,00:00:45:20,45.02,31/05/2023,m,adult,TCP,eagle,NA,14.002,Yawn,Yawn,yes,2.002,no,yes,no
EXP26,FILE26,ID18,y,1,00:00:49:18,49.018,31/05/2023,m,adult,TCP,eagle,NA,18,Yawn,Yawn,yes,2.002,no,yes,no
EXP27,FILE27,ID12,f,1,00:00:10:14,10.014,12/10/2023,m,subadult,TCP,viper,up,1.014,Start fleeing,Flee up,yes,1.999,no,no,no
EXP27,FILE27,ID12,e,2,00:00:12:13,12.013,12/10/2023,m,subadult,TCP,viper,up,3.013,End fleeing,NA,yes,1.999,no,no,no
EXP27,FILE27,ID12,u,1,00:00:24:04,24.004,12/10/2023,m,subadult,TCP,viper,NA,15.004,Start going up,Go up,yes,1.999,no,no,no
EXP27,FILE27,ID12,p,3,00:00:33:10,33.01,12/10/2023,m,subadult,TCP,viper,NA,24.01,End going up,NA,yes,1.999,no,no,no
EXP3,FILE3,ID3,f,1,00:00:13:02,13.002,29/05/2022,m,subadult,TMP,leopard,up,0.98,Start fleeing,Flee up,yes,5.018,no,no,no
EXP3,FILE3,ID3,e,3,00:00:18:20,18.02,29/05/2022,m,subadult,TMP,leopard,up,5.998,End fleeing,NA,yes,5.018,no,no,no
EXP4,FILE4,ID4,b,1,00:00:13:10,13.01,25/06/2022,f,adult,TMP,eagle,NA,4.994,Bipedal,Bipedal,no,NA,yes,yes,no
EXP4,FILE4,ID4,t,1,00:00:24:09,24.009,25/06/2022,f,adult,TMP,eagle,NA,15.993,Tail,Tail,no,NA,yes,yes,no
EXP4,FILE4,ID4,t,1,00:00:28:06,28.006,25/06/2022,f,adult,TMP,eagle,NA,19.99,Tail,Tail,no,NA,yes,yes,no
EXP4,FILE4,ID4,b,1,00:00:28:16,28.016,25/06/2022,f,adult,TMP,eagle,NA,20,Bipedal,Bipedal,no,NA,yes,yes,no
EXP5,FILE5,ID5,f,1,00:00:04:20,4.02,06/07/2022,f,subadult,TMP,viper,same,0.011,Start fleeing,Flee same,yes,0.997,yes,no,no
EXP5,FILE5,ID5,e,1,00:00:05:17,5.017,06/07/2022,f,subadult,TMP,viper,same,1.008,End fleeing,NA,yes,0.997,yes,no,no
EXP5,FILE5,ID5,b,1,00:00:06:19,6.019,06/07/2022,f,subadult,TMP,viper,NA,2.01,Bipedal,Bipedal,yes,0.997,yes,no,no
EXP5,FILE5,ID5,u,1,00:00:21:07,21.007,06/07/2022,f,subadult,TMP,viper,NA,16.998,Start going up,Go up,yes,0.997,yes,no,no
EXP5,FILE5,ID5,p,2,00:00:28:24,28.024,06/07/2022,f,subadult,TMP,viper,NA,24.015,End going up,NA,yes,0.997,yes,no,no
EXP6,FILE6,ID6,f,1,00:00:12:09,12.009,12/02/2023,m,subadult,TCP,eagle,up,0.991,Start fleeing,Flee up,yes,0.998,no,yes,no
EXP6,FILE6,ID6,e,2,00:00:13:07,13.007,12/02/2023,m,subadult,TCP,eagle,up,1.989,End fleeing,NA,yes,0.998,no,yes,no
EXP6,FILE6,ID6,d,2,00:00:18:11,18.011,12/02/2023,m,subadult,TCP,eagle,NA,6.993,Start going down,Go down,yes,0.998,no,yes,no
EXP6,FILE6,ID6,n,1,00:00:20:12,20.012,12/02/2023,m,subadult,TCP,eagle,NA,8.994,End going down,NA,yes,0.998,no,yes,no
EXP6,FILE6,ID6,t,1,00:00:20:18,20.018,12/02/2023,m,subadult,TCP,eagle,NA,9,Tail,Tail,yes,0.998,no,yes,no
EXP7,FILE7,ID7,f,1,00:00:07:12,7.012,17/02/2023,f,adult,TCP,leopard,up,0.988,Start fleeing,Flee up,yes,16.002,no,no,no
EXP7,FILE7,ID7,e,3,00:00:23:14,23.014,17/02/2023,f,adult,TCP,leopard,up,16.99,End fleeing,NA,yes,16.002,no,no,no
EXP8,FILE8,ID8,t,1,00:00:11:07,11.007,23/02/2023,m,subadult,TCP,eagle,NA,3.007,Tail,Tail,no,NA,yes,yes,no
EXP8,FILE8,ID8,b,1,00:00:25:23,25.023,23/02/2023,m,subadult,TCP,eagle,NA,17.023,Bipedal,Bipedal,no,NA,yes,yes,no
EXP8,FILE8,ID8,t,1,00:00:25:34,25.034,23/02/2023,m,subadult,TCP,eagle,NA,17.034,Tail,Tail,no,NA,yes,yes,no
EXP9,FILE9,ID9,f,2,00:00:07:13,7.013,07/03/2023,f,adult,TCP,leopard,up,2.998,Start fleeing,Flee up,yes,3.003,no,no,no
EXP9,FILE9,ID9,e,3,00:00:10:16,10.016,07/03/2023,f,adult,TCP,leopard,up,6.001,End fleeing,NA,yes,3.003,no,no,no
